Varies per block?       ,1,Unit,$,2,1,2024
Varies per sequence?    ,1
# of agents             ,5
Stag,Seq.,Blck,Resulting profit,Sales revenue,Opex,Annual Capex,Violation penalty
1,1,1,4.1101523838907965e7,1.9558240540399998e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,2,1,4.5892188318907954e7,2.0037306988399997e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,3,1,4.7954405118907996e7,2.0243528668400002e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,4,1,5.0015849118907966e7,2.04496730684e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,5,1,4.526316775890795e7,1.9974404932399997e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,6,1,6.357860503890798e7,2.18059486604e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,7,1,6.426033055890799e7,2.18741212124e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,8,1,4.019966623890797e7,1.94680547804e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,9,1,3.584617471890796e7,1.9032705628399998e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,10,1,1.0368195198907947e7,1.6484907676399997e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,11,1,5.267483358907973e6,1.59748364924e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,12,1,-4.332476756516019e6,7.444762424399999e7,7.503109014277999e7,3.7490108577360157e6,0.0
1,13,1,2.859705174907958e6,1.5734058673999998e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,14,1,8.014033878907954e6,1.6249491544399998e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,15,1,1.3270032069079634e6,1.5580788477199998e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,16,1,1.236914827890796e7,1.6685002984399998e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,17,1,2.7146714886907972e7,1.81627596452e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,18,1,3.8607056814907975e7,1.9308793838e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,19,1,4.959230448690797e7,2.04073186052e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,20,1,8.984594179890797e7,2.44326823364e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,21,1,9.013494195090798e7,2.44615823516e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,22,1,8.470681793490794e7,2.3918769949999997e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,23,1,8.786855525490794e7,2.4234943681999996e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,24,1,1.2021117807090795e8,2.74692059636e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,25,1,1.37607601590908e8,2.92088483156e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,26,1,9.221503747890797e7,2.46695919044e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,27,1,3.134859850290797e7,1.85829480068e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,28,1,1.8863512182907976e7,1.73344393748e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,29,1,1.4250004374907946e7,1.6873088593999997e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,30,1,4.173387130290798e7,1.96214752868e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,31,1,5.400000019890795e7,2.0848088176399997e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,32,1,6.289406652690796e7,2.1737494809199998e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,33,1,1.1220157361490795e8,2.6668245517999998e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,34,1,1.44721461294908e8,2.9920234286e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,35,1,1.3387198299090797e8,2.88352864556e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,36,1,1.6442351043090796e8,3.18904391996e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,37,1,1.8078636031890798e8,3.35267241884e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,38,1,1.73569397502908e8,3.28050279068e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,39,1,1.35673967118908e8,2.90154848684e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,40,1,1.1169999163890794e8,2.6618087320399997e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,41,1,1.0915569060690793e8,2.6363657217199996e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,42,1,1.50302619030908e8,3.04783500596e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,43,1,1.6759162335090798e8,3.22072504916e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,44,1,1.6461598013490796e8,3.190968617e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,45,1,1.36109625390908e8,2.9059050695600003e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,46,1,1.3120711743090796e8,2.85687998996e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,47,1,1.2127064823090798e8,2.75751529796e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,48,1,1.0151189875890794e8,2.5599278032399997e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,49,1,9.578614241490796e7,2.5026702398e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,50,1,1.1073234171090794e8,2.6521322327599996e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,51,1,1.0399272972690797e8,2.58473611292e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,52,1,8.225659371090794e7,2.3673747527599996e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,53,1,7.045467031890795e7,2.2493555188399997e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,54,1,7.752929110290799e7,2.32010172668e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,55,1,1.0517502099090797e8,2.59655902556e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,56,1,8.939017140690795e7,2.4387105297199997e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,57,1,8.237038851090798e7,2.36851270076e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,58,1,7.620446074290797e7,2.30685342308e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,59,1,7.499362224690798e7,2.29474503812e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,60,1,7.404117715890795e7,2.2852205872399998e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,61,1,6.889342111890796e7,2.23374302684e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,62,1,6.884365279890797e7,2.23324534364e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,63,1,7.536167983890799e7,2.29842561404e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,64,1,7.202554087890795e7,2.2650642244399998e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,65,1,7.856953399890795e7,2.3305041556399998e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,66,1,7.198755775890797e7,2.26468439324e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,67,1,6.693800527890796e7,2.2141888684399998e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,68,1,6.130943239890797e7,2.15790313964e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,69,1,6.812278495890796e7,2.22603666524e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,70,1,5.6887942206907965e7,2.1136882377199998e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,71,1,5.146207476690797e7,2.05942956332e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,72,1,5.660791039890797e7,2.11088791964e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,73,1,3.809869351890797e7,1.92579575084e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,74,1,4.315258140690795e7,1.9763346297199997e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,75,1,9.141103567890796e7,2.45891917244e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,76,1,8.239477807890797e7,2.36875659644e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,77,1,5.946696127890796e7,2.1394784284399998e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,78,1,5.027048671890796e7,2.0475136828399998e8,1.50731870707356e8,3.7490108577360157e6,0.0
1,79,1,4.867334095890797e7,2.03154222524e8,1.50731870707356e8,3.7490108577360157e6,0.0
