Product,Land,Sugarcane,Straw,Sugar,Molasses,Filter Cake,Bagasse,Ethanol 1G,Ethanol 2G,Vinasse,Electricity,Biomethane,Hydrogen,Bio oil,SAF,Green diesel,Bio Gasoline,Methanol,Biochar,CO2,Carbon credit
Unit,ha,t,t,t,t,t,t,L,L,t,MWh,m3,t,t,L,L,L,t,t,t,t
Consumed - Scenario 1,46000.0,3.864e6,227676.7677,0.0,0.0,0.0,966000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consumed - Scenario 2,46000.0,3.864e6,227676.7677,0.0,0.0,0.0,966000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consumed - Scenario 3,46000.0,3.864e6,227676.7677,0.0,0.0,0.0,966000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consumed - Scenario 4,46000.0,3.864e6,227676.7677,0.0,0.0,0.0,966000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consumed - Scenario 5,46000.0,3.864e6,227676.7677,0.0,0.0,0.0,966000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consumed - Scenario 6,46000.0,3.864e6,227676.7677,0.0,0.0,0.0,966000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consumed - Scenario 7,46000.0,3.864e6,227676.7677,0.0,0.0,0.0,966000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consumed - Scenario 8,46000.0,3.864e6,227676.7677,0.0,0.0,0.0,966000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consumed - Scenario 9,46000.0,3.864e6,227676.7677,0.0,0.0,0.0,966000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consumed - Scenario 10,46000.0,3.864e6,227676.7677,0.0,0.0,0.0,966000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consumed - Scenario 11,46000.0,3.864e6,227676.7677,0.0,0.0,0.0,966000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consumed - Scenario 12,22897.8127,1.9234162696e6,113332.6085,0.0,0.0,0.0,480854.0674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consumed - Scenario 13,46000.0,3.864e6,227676.7677,0.0,0.0,0.0,966000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consumed - Scenario 14,46000.0,3.864e6,227676.7677,0.0,0.0,0.0,966000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consumed - Scenario 15,46000.0,3.864e6,227676.7677,0.0,0.0,0.0,966000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consumed - Scenario 16,46000.0,3.864e6,227676.7677,0.0,0.0,0.0,966000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consumed - Scenario 17,46000.0,3.864e6,227676.7677,0.0,0.0,0.0,966000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consumed - Scenario 18,46000.0,3.864e6,227676.7677,0.0,0.0,0.0,966000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consumed - Scenario 19,46000.0,3.864e6,227676.7677,0.0,0.0,0.0,966000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consumed - Scenario 20,46000.0,3.864e6,227676.7677,0.0,0.0,0.0,966000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consumed - Scenario 21,46000.0,3.864e6,227676.7677,0.0,0.0,0.0,966000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consumed - Scenario 22,46000.0,3.864e6,227676.7677,0.0,0.0,0.0,966000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consumed - Scenario 23,46000.0,3.864e6,227676.7677,0.0,0.0,0.0,966000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consumed - Scenario 24,46000.0,3.864e6,227676.7677,0.0,0.0,0.0,966000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consumed - Scenario 25,46000.0,3.864e6,227676.7677,0.0,0.0,0.0,966000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consumed - Scenario 26,46000.0,3.864e6,227676.7677,0.0,0.0,0.0,966000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consumed - Scenario 27,46000.0,3.864e6,227676.7677,0.0,0.0,0.0,966000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consumed - Scenario 28,46000.0,3.864e6,227676.7677,0.0,0.0,0.0,966000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consumed - Scenario 29,46000.0,3.864e6,227676.7677,0.0,0.0,0.0,966000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
