Product,Land,Sugarcane,Straw,Sugar,Molasses,Filter Cake,Bagasse,Ethanol 1G,Ethanol 2G,Vinasse,Electricity,Biomethane,Hydrogen,Bio oil,SAF,Green diesel,Bio Gasoline,Methanol,Biochar,CO2,Carbon credit
Unit,ha,t,t,t,t,t,t,L,L,t,MWh,m3,t,t,L,L,L,t,t,t,t
Produced - Scenario 1,0.0,3.864e6,540960.0,167427.12,0.0,115920.0,966000.0,2.1897288e8,0.0,2.40081912e9,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103041.288,0.0
Produced - Scenario 2,0.0,3.864e6,540960.0,167427.12,0.0,115920.0,966000.0,2.1897288e8,0.0,2.40081912e9,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103041.288,0.0
Produced - Scenario 3,0.0,3.864e6,540960.0,167427.12,0.0,115920.0,966000.0,2.1897288e8,0.0,2.40081912e9,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103041.288,0.0
Produced - Scenario 4,0.0,3.864e6,540960.0,167427.12,0.0,115920.0,966000.0,2.1897288e8,0.0,2.40081912e9,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103041.288,0.0
Produced - Scenario 5,0.0,3.864e6,540960.0,167427.12,0.0,115920.0,966000.0,2.1897288e8,0.0,2.40081912e9,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103041.288,0.0
Produced - Scenario 6,0.0,3.864e6,540960.0,167427.12,0.0,115920.0,966000.0,2.1897288e8,0.0,2.40081912e9,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103041.288,0.0
Produced - Scenario 7,0.0,3.864e6,540960.0,167427.12,0.0,115920.0,966000.0,2.1897288e8,0.0,2.40081912e9,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103041.288,0.0
Produced - Scenario 8,0.0,3.864e6,540960.0,167427.12,0.0,115920.0,966000.0,2.1897288e8,0.0,2.40081912e9,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103041.288,0.0
Produced - Scenario 9,0.0,3.864e6,540960.0,167427.12,0.0,115920.0,966000.0,2.1897288e8,0.0,2.40081912e9,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103041.288,0.0
Produced - Scenario 10,0.0,3.864e6,540960.0,167427.12,0.0,115920.0,966000.0,2.1897288e8,0.0,2.40081912e9,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103041.288,0.0
Produced - Scenario 11,0.0,3.864e6,540960.0,167427.12,0.0,115920.0,966000.0,2.1897288e8,0.0,2.40081912e9,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103041.288,0.0
