Product,Land,Sugarcane,Straw,Sugar,Molasses,Filter Cake,Bagasse,Ethanol 1G,Ethanol 2G,Vinasse,Electricity,Biomethane,Hydrogen,Bio oil,SAF,Green diesel,Bio Gasoline,Methanol,Biochar,CO2,Carbon credit
Unit,ha,t,t,t,t,t,t,L,L,t,MWh,m3,t,t,L,L,L,t,t,t,t
Sold - Scenario 1,0.0,0.0,0.0,167427.12,0.0,0.0,0.0,2.1897288e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 2,0.0,0.0,0.0,167427.12,0.0,0.0,0.0,2.1897288e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 3,0.0,0.0,0.0,167427.12,0.0,0.0,0.0,2.1897288e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 4,0.0,0.0,0.0,167427.12,0.0,0.0,0.0,2.1897288e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 5,0.0,0.0,0.0,167427.12,0.0,0.0,0.0,2.1897288e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 6,0.0,0.0,0.0,167427.12,0.0,0.0,0.0,2.1897288e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 7,0.0,0.0,0.0,167427.12,0.0,0.0,0.0,2.1897288e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 8,0.0,0.0,0.0,167427.12,0.0,0.0,0.0,2.1897288e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 9,0.0,0.0,0.0,167427.12,0.0,0.0,0.0,2.1897288e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 10,0.0,0.0,0.0,167427.12,0.0,0.0,0.0,2.1897288e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 11,0.0,0.0,0.0,167427.12,0.0,0.0,0.0,2.1897288e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 12,0.0,0.0,0.0,83341.627,0.0,0.0,0.0,1.09e8,0.0,0.0,218570.0306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 13,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 14,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 15,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 16,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 17,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 18,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 19,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 20,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 21,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 22,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 23,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 24,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 25,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 26,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 27,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 28,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 29,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 30,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 31,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 32,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 33,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 34,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 35,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 36,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 37,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 38,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 39,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 40,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 41,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 42,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 43,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 44,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 45,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 46,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 47,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 48,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 49,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 50,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 51,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 52,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 53,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 54,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 55,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
