Product,Land,Sugarcane,Straw,Sugar,Molasses,Filter Cake,Bagasse,Ethanol 1G,Ethanol 2G,Vinasse,Electricity,Biomethane,Hydrogen,Bio oil,SAF,Green diesel,Bio Gasoline,Methanol,Biochar,CO2,Carbon credit
Unit,$/ha,$/t,$/t,$/t,$/t,$/t,$/t,$/L,$/L,$/t,$/MWh,$/m3,$/t,$/t,$/L,$/L,$/L,$/t,$/t,$/t,$/t
Price - Scenario 1,0,13.62,0,272,136,0,0,0.605,1.21,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 2,0,15.73,0,315,157,0,0,0.594,1.189,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 3,0,12.89,0,258,129,0,0,0.647,1.294,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 4,0,11.74,0,235,117,0,0,0.674,1.347,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 5,0,11.05,0,221,110,0,0,0.663,1.326,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 6,0,13.27,0,265,133,0,0,0.713,1.427,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 7,0,15.36,0,307,154,0,0,0.684,1.368,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 8,0,14.07,0,281,141,0,0,0.594,1.189,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 9,0,13.62,0,272,136,0,0,0.581,1.162,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 10,0,13.25,0,265,132,0,0,0.47,0.94,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 11,0,13.12,0,262,131,0,0,0.449,0.898,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 12,0,13.02,0,260,130,0,0,0.404,0.808,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 13,0,13.97,0,279,140,0,0,0.423,0.845,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 14,0,14.85,0,297,148,0,0,0.415,0.83,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 15,0,13.97,0,279,140,0,0,0.409,0.819,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 16,0,15.49,0,310,155,0,0,0.415,0.83,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 17,0,17.17,0,343,172,0,0,0.449,0.898,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 18,0,18.53,0,371,185,0,0,0.468,0.935,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 19,0,20.51,0,410,205,0,0,0.449,0.898,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 20,0,26.89,0,538,269,0,0,0.425,0.851,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 21,0,26.59,0,532,266,0,0,0.446,0.893,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 22,0,24.43,0,489,244,0,0,0.528,1.057,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 23,0,24.33,0,487,243,0,0,0.563,1.125,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 24,0,29.71,0,594,297,0,0,0.531,1.062,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 25,0,32.96,0,659,330,0,0,0.491,0.983,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 26,0,26.6,0,532,266,0,0,0.465,0.93,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 27,0,18.29,0,366,183,0,0,0.417,0.835,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 28,0,16.59,0,332,166,0,0,0.407,0.814,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 29,0,15.64,0,313,156,0,0,0.423,0.845,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 30,0,19.87,0,397,199,0,0,0.417,0.835,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 31,0,21.57,0,431,216,0,0,0.425,0.851,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 32,0,21.77,0,435,218,0,0,0.494,0.988,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 33,0,27.89,0,558,279,0,0,0.568,1.136,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 34,0,32.1,0,642,321,0,0,0.608,1.215,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 35,0,30.37,0,607,304,0,0,0.616,1.231,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 36,0,35.41,0,708,354,0,0,0.586,1.173,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 37,0,37.45,0,749,374,0,0,0.61,1.22,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 38,0,35.84,0,717,358,0,0,0.642,1.284,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 39,0,29.88,0,598,299,0,0,0.66,1.321,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 40,0,25.77,0,515,258,0,0,0.695,1.39,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 41,0,25.55,0,511,256,0,0,0.684,1.368,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 42,0,31.26,0,625,313,0,0,0.711,1.421,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 43,0,32.86,0,657,329,0,0,0.771,1.543,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 44,0,32.72,0,654,327,0,0,0.753,1.506,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
