Varies per block?       ,1,Unit,$,2,1,2024
Varies per sequence?    ,1
# of agents             ,5
Stag,Seq.,Blck,Resulting profit,Sales revenue,Opex,Annual Capex,Violation penalty
1,1,1,5.8125411211639255e7,2.7707227621393e8,1.96239234224204e8,2.2707630778086748e7,0.0
1,2,1,6.520568229563919e7,2.8415254729792994e8,1.96239234224204e8,2.2707630778086748e7,0.0
1,3,1,6.0007834579639286e7,2.7895469958193004e8,1.96239234224204e8,2.2707630778086748e7,0.0
1,4,1,5.8522387255639285e7,2.7746925225793004e8,1.96239234224204e8,2.2707630778086748e7,0.0
1,5,1,5.4627810623639256e7,2.7357467562593e8,1.96239234224204e8,2.2707630778086748e7,0.0
1,6,1,6.950631329370925e7,2.58461227776e8,1.66247283704204e8,2.2707630778086748e7,0.0
1,7,1,7.347535279163918e7,2.9242221779392993e8,1.96239234224204e8,2.2707630778086748e7,0.0
1,8,1,5.865928190363929e7,2.7760614690593004e8,1.96239234224204e8,2.2707630778086748e7,0.0
1,9,1,5.5509411211639255e7,2.7445627621393e8,1.96239234224204e8,2.2707630778086748e7,0.0
1,10,1,4.206262289563927e7,2.6100948789793003e8,1.96239234224204e8,2.2707630778086748e7,0.0
1,11,1,3.919599933163926e7,2.5814286433393002e8,1.96239234224204e8,2.2707630778086748e7,0.0
1,12,1,3.390591695563927e7,2.5285278195793003e8,1.96239234224204e8,2.2707630778086748e7,0.0
1,13,1,3.963519952763924e7,2.5858206452993e8,1.96239234224204e8,2.2707630778086748e7,0.0
1,14,1,4.222894091163924e7,2.6117580591393e8,1.96239234224204e8,2.2707630778086748e7,0.0
1,15,1,3.810919952763924e7,2.5705606452993e8,1.96239234224204e8,2.2707630778086748e7,0.0
1,16,1,4.473197635563925e7,2.6367884135793e8,1.96239234224204e8,2.2707630778086748e7,0.0
1,17,1,5.4791835559639245e7,2.7373870056193e8,1.96239234224204e8,2.2707630778086748e7,0.0
1,18,1,6.2253988823639244e7,2.8120085382593e8,1.96239234224204e8,2.2707630778086748e7,0.0
1,19,1,6.76920951556392e7,2.8663896015792996e8,1.96239234224204e8,2.2707630778086748e7,0.0
1,20,1,1.0446788965734428e8,2.9697191308763504e8,1.69796392652204e8,2.2707630778086748e7,0.0
1,21,1,1.0444532893734431e8,2.969493523676351e8,1.69796392652204e8,2.2707630778086748e7,0.0
1,22,1,9.681714377734429e7,2.8932116720763505e8,1.69796392652204e8,2.2707630778086748e7,0.0
1,23,1,9.986162353734428e7,2.9236564696763504e8,1.69796392652204e8,2.2707630778086748e7,0.0
1,24,1,1.3759645637734425e8,3.30100479807635e8,1.69796392652204e8,2.2707630778086748e7,0.0
1,25,1,1.5827836417734426e8,3.50782387607635e8,1.69796392652204e8,2.2707630778086748e7,0.0
1,26,1,1.0651632893734431e8,2.990203523676351e8,1.69796392652204e8,2.2707630778086748e7,0.0
1,27,1,5.5732282883639246e7,2.7467914788593e8,1.96239234224204e8,2.2707630778086748e7,0.0
1,28,1,4.809588249163929e7,2.6704274749393004e8,1.96239234224204e8,2.2707630778086748e7,0.0
1,29,1,4.618159991963926e7,2.6512846492193002e8,1.96239234224204e8,2.2707630778086748e7,0.0
1,30,1,6.1701059711639255e7,2.8064792471393e8,1.96239234224204e8,2.2707630778086748e7,0.0
1,31,1,6.911946010363922e7,2.8806632510593e8,1.96239234224204e8,2.2707630778086748e7,0.0
1,32,1,7.741062485563919e7,2.9635748985792994e8,1.96239234224204e8,2.2707630778086748e7,0.0
1,33,1,1.2776009205734426e8,3.20264115487635e8,1.69796392652204e8,2.2707630778086748e7,0.0
1,34,1,1.6448194213734424e8,3.56985965567635e8,1.69796392652204e8,2.2707630778086748e7,0.0
1,35,1,1.518698379373443e8,3.443738613676351e8,1.69796392652204e8,2.2707630778086748e7,0.0
1,36,1,1.8751111005734426e8,3.80015133487635e8,1.69796392652204e8,2.2707630778086748e7,0.0
1,37,1,2.0592277497734427e8,3.9842679840763503e8,1.69796392652204e8,2.2707630778086748e7,0.0
1,38,1,1.970824511373443e8,3.8958647456763506e8,1.69796392652204e8,2.2707630778086748e7,0.0
1,39,1,1.5319849685734427e8,3.45702520287635e8,1.69796392652204e8,2.2707630778086748e7,0.0
1,40,1,1.2503690689734429e8,3.1754093032763505e8,1.69796392652204e8,2.2707630778086748e7,0.0
1,41,1,1.2229686641734427e8,3.1480088984763503e8,1.69796392652204e8,2.2707630778086748e7,0.0
1,42,1,1.6923892938450927e8,3.581938438668e8,1.66247283704204e8,2.2707630778086748e7,0.0
1,43,1,1.8912128435250926e8,3.780761988348e8,1.66247283704204e8,2.2707630778086748e7,0.0
1,44,1,1.8569929465410924e8,3.746542091364e8,1.66247283704204e8,2.2707630778086748e7,0.0
1,45,1,1.5291698669850922e8,3.4187190118079996e8,1.66247283704204e8,2.2707630778086748e7,0.0
1,46,1,1.4727910254450923e8,3.362340170268e8,1.66247283704204e8,2.2707630778086748e7,0.0
1,47,1,1.3585216296450925e8,3.248070774468e8,1.66247283704204e8,2.2707630778086748e7,0.0
1,48,1,1.1484164677734429e8,3.0734567020763505e8,1.69796392652204e8,2.2707630778086748e7,0.0
1,49,1,1.0888234617734426e8,3.01386369607635e8,1.69796392652204e8,2.2707630778086748e7,0.0
1,50,1,1.2593527121734428e8,3.1843929464763504e8,1.69796392652204e8,2.2707630778086748e7,0.0
1,51,1,1.1788050809734428e8,3.1038453152763504e8,1.69796392652204e8,2.2707630778086748e7,0.0
1,52,1,9.318816101734424e7,2.85692184447635e8,1.69796392652204e8,2.2707630778086748e7,0.0
1,53,1,8.479716604363921e7,3.0374403104592997e8,1.96239234224204e8,2.2707630778086748e7,0.0
1,54,1,8.832638065734428e7,2.8083040408763504e8,1.69796392652204e8,2.2707630778086748e7,0.0
1,55,1,1.180233056973443e8,3.1052732912763506e8,1.69796392652204e8,2.2707630778086748e7,0.0
1,56,1,1.0139382505163923e8,3.2034069005393e8,1.96239234224204e8,2.2707630778086748e7,0.0
1,57,1,9.468674267563918e7,3.1363360767792994e8,1.96239234224204e8,2.2707630778086748e7,0.0
1,58,1,9.16498365396392e7,3.1059670154192996e8,1.96239234224204e8,2.2707630778086748e7,0.0
1,59,1,9.058529535163918e7,3.0953216035392994e8,1.96239234224204e8,2.2707630778086748e7,0.0
1,60,1,8.893200129163918e7,3.0787886629392993e8,1.96239234224204e8,2.2707630778086748e7,0.0
1,61,1,8.62038010956392e7,3.0515066609792995e8,1.96239234224204e8,2.2707630778086748e7,0.0
1,62,1,8.64583892156392e7,3.0540525421792996e8,1.96239234224204e8,2.2707630778086748e7,0.0
1,63,1,8.795573020763919e7,3.0690259520992994e8,1.96239234224204e8,2.2707630778086748e7,0.0
1,64,1,8.640427139563921e7,3.0535113639792997e8,1.96239234224204e8,2.2707630778086748e7,0.0
1,65,1,8.693174169563922e7,3.0587860669793e8,1.96239234224204e8,2.2707630778086748e7,0.0
1,66,1,8.321857694363919e7,3.0216544194592994e8,1.96239234224204e8,2.2707630778086748e7,0.0
