Varies per block?       ,1,Unit,$,2,1,2024
Varies per sequence?    ,1
# of agents             ,5
Stag,Seq.,Blck,Resulting profit,Sales revenue,Opex,Annual Capex,Violation penalty
1,1,1,3.915829502299316e7,2.38145735357538e8,1.75680895507356e8,2.3306544827188864e7,0.0
1,2,1,4.515866118299319e7,2.4414610151753804e8,1.75680895507356e8,2.3306544827188864e7,0.0
1,3,1,4.1392315342993155e7,2.40379755677538e8,1.75680895507356e8,2.3306544827188864e7,0.0
1,4,1,4.0484491582993165e7,2.3947193191753802e8,1.75680895507356e8,2.3306544827188864e7,0.0
1,5,1,3.694151190299316e7,2.35928952237538e8,1.75680895507356e8,2.3306544827188864e7,0.0
1,6,1,5.049497283112313e7,2.26388108365668e8,1.52586590707356e8,2.3306544827188864e7,0.0
1,7,1,5.362924422299315e7,2.52616684557538e8,1.75680895507356e8,2.3306544827188864e7,0.0
1,8,1,3.9466139102993146e7,2.38453579437538e8,1.75680895507356e8,2.3306544827188864e7,0.0
1,9,1,3.654229502299316e7,2.35529735357538e8,1.75680895507356e8,2.3306544827188864e7,0.0
1,10,1,2.327130518299319e7,2.2225874551753804e8,1.75680895507356e8,2.3306544827188864e7,0.0
1,11,1,2.0480023822993174e7,2.1946746415753803e8,1.75680895507356e8,2.3306544827188864e7,0.0
1,12,1,1.5240169582993165e7,2.1422760991753802e8,1.75680895507356e8,2.3306544827188864e7,0.0
1,13,1,2.0492284862993136e7,2.19479725197538e8,1.75680895507356e8,2.3306544827188864e7,0.0
1,14,1,2.2633973022993162e7,2.21621413357538e8,1.75680895507356e8,2.3306544827188864e7,0.0
1,15,1,1.8966284862993136e7,2.17953725197538e8,1.75680895507356e8,2.3306544827188864e7,0.0
1,16,1,2.4810525582993165e7,2.2379796591753802e8,1.75680895507356e8,2.3306544827188864e7,0.0
1,17,1,3.404162054299314e7,2.33029060877538e8,1.75680895507356e8,2.3306544827188864e7,0.0
1,18,1,4.080057990299316e7,2.39788020237538e8,1.75680895507356e8,2.3306544827188864e7,0.0
1,19,1,4.5259237582993165e7,2.4424667791753802e8,1.75680895507356e8,2.3306544827188864e7,0.0
1,20,1,7.689697193259312e7,2.52890636987138e8,1.5268712022735602e8,2.3306544827188864e7,0.0
1,21,1,7.717591913259311e7,2.53169584187138e8,1.5268712022735602e8,2.3306544827188864e7,0.0
1,22,1,7.17085407325931e7,2.47702205787138e8,1.5268712022735602e8,2.3306544827188864e7,0.0
1,23,1,7.485352313259311e7,2.50847188187138e8,1.5268712022735602e8,2.3306544827188864e7,0.0
1,24,1,1.0721146473259316e8,2.8320512978713804e8,1.5268712022735602e8,2.3306544827188864e7,0.0
1,25,1,1.2462703673259316e8,3.0062070178713804e8,1.5268712022735602e8,2.3306544827188864e7,0.0
1,26,1,7.924691913259311e7,2.55240584187138e8,1.5268712022735602e8,2.3306544827188864e7,0.0
