Varies per block?       ,1,Unit,$,2,1,2024
Varies per sequence?    ,1
# of agents             ,5
Stag,Seq.,Blck,Resulting profit,Sales revenue,Opex,Annual Capex,Violation penalty
1,1,1,3.91433141901775e7,2.3862623276087e8,1.7600122711357403e8,2.3481691457118478e7,0.0
1,2,1,4.514368035017753e7,2.4462659892087004e8,1.7600122711357403e8,2.3481691457118478e7,0.0
1,3,1,4.137733451017749e7,2.4086025308087e8,1.7600122711357403e8,2.3481691457118478e7,0.0
1,4,1,4.04695107501775e7,2.3995242932087e8,1.7600122711357403e8,2.3481691457118478e7,0.0
1,5,1,3.6926531070177495e7,2.3640944964087e8,1.7600122711357403e8,2.3481691457118478e7,0.0
1,6,1,5.04799919983075e7,2.26868605769e8,1.5290692231357402e8,2.3481691457118478e7,0.0
1,7,1,5.361426339017749e7,2.5309718196087e8,1.7600122711357403e8,2.3481691457118478e7,0.0
1,8,1,3.945115827017748e7,2.3893407684087e8,1.7600122711357403e8,2.3481691457118478e7,0.0
1,9,1,3.65273141901775e7,2.3601023276087e8,1.7600122711357403e8,2.3481691457118478e7,0.0
1,10,1,2.325632435017753e7,2.2273924292087004e8,1.7600122711357403e8,2.3481691457118478e7,0.0
1,11,1,2.0465042990177516e7,2.1994796156087002e8,1.7600122711357403e8,2.3481691457118478e7,0.0
1,12,1,1.5225188750177506e7,2.1470810732087e8,1.7600122711357403e8,2.3481691457118478e7,0.0
1,13,1,2.0477304030177508e7,2.1996022260087e8,1.7600122711357403e8,2.3481691457118478e7,0.0
1,14,1,2.2618992190177534e7,2.2210191076087004e8,1.7600122711357403e8,2.3481691457118478e7,0.0
1,15,1,1.8951304030177508e7,2.1843422260087e8,1.7600122711357403e8,2.3481691457118478e7,0.0
1,16,1,2.4795544750177506e7,2.2427846332087e8,1.7600122711357403e8,2.3481691457118478e7,0.0
1,17,1,3.402663971017751e7,2.3350955828087002e8,1.7600122711357403e8,2.3481691457118478e7,0.0
1,18,1,4.0785599070177495e7,2.4026851764087e8,1.7600122711357403e8,2.3481691457118478e7,0.0
1,19,1,4.52442567501775e7,2.4472717532087e8,1.7600122711357403e8,2.3481691457118478e7,0.0
1,20,1,7.688199109977752e7,2.5337113439047e8,1.53007451833574e8,2.3481691457118478e7,0.0
1,21,1,7.716093829977751e7,2.5365008159047e8,1.53007451833574e8,2.3481691457118478e7,0.0
1,22,1,7.16935598997775e7,2.4818270319046998e8,1.53007451833574e8,2.3481691457118478e7,0.0
1,23,1,7.483854229977751e7,2.5132768559047e8,1.53007451833574e8,2.3481691457118478e7,0.0
1,24,1,1.0719648389977756e8,2.8368562719047004e8,1.53007451833574e8,2.3481691457118478e7,0.0
1,25,1,1.2461205589977756e8,3.0110119919047004e8,1.53007451833574e8,2.3481691457118478e7,0.0
1,26,1,7.923193829977751e7,2.5572108159047e8,1.53007451833574e8,2.3481691457118478e7,0.0
1,27,1,3.438946347017753e7,2.3387238204087004e8,1.7600122711357403e8,2.3481691457118478e7,0.0
1,28,1,2.760694139017752e7,2.2708985996087003e8,1.7600122711357403e8,2.3481691457118478e7,0.0
1,29,1,2.616982611017752e7,2.2565274468087003e8,1.7600122711357403e8,2.3481691457118478e7,0.0
1,30,1,3.95797041901775e7,2.3906262276087e8,1.7600122711357403e8,2.3481691457118478e7,0.0
1,31,1,4.614422627017748e7,2.4562714484087e8,1.7600122711357403e8,2.3481691457118478e7,0.0
