Product,Land,Sugarcane,Straw,Sugar,Molasses,Filter Cake,Bagasse,Ethanol 1G,Ethanol 2G,Vinasse,Electricity,Biomethane,Hydrogen,Bio oil,SAF,Green diesel,Bio Gasoline,Methanol,Biochar,CO2,Carbon credit
Unit,ha/year,t/year,t/year,t/year,t/year,t/year,t/year,L/year,L/year,t/year,MWh/year,m3/year,t/year,t/year,L/year,L/year,L/year,t/year,t/year,t/year,t/year
Initial Availability - Scenario 1,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 2,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 3,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 4,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 5,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 6,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 7,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 8,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 9,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 10,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 11,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 12,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 13,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 14,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 15,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 16,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 17,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 18,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 19,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 20,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 21,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 22,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 23,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 24,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 25,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 26,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 27,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 28,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 29,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 30,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 31,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 32,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 33,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 34,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 35,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 36,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 37,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 38,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 39,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 40,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 41,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 42,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 43,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 44,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 45,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 46,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 47,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 48,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 49,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 50,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 51,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 52,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 53,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 54,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 55,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 56,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 57,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 58,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 59,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 60,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 61,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 62,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 63,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 64,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 65,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 66,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 67,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 68,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 69,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Initial Availability - Scenario 70,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
