Varies per block?       ,1,Unit,$,2,1,2024
Varies per sequence?    ,1
# of agents             ,5
Stag,Seq.,Blck,Resulting profit,Sales revenue,Opex,Annual Capex,Violation penalty
1,1,1,3.912908955215355e7,2.5029341218037003e8,1.78403714160209e8,3.2760608468007483e7,0.0
1,2,1,4.512945571215352e7,2.5629377834037e8,1.78403714160209e8,3.2760608468007483e7,0.0
1,3,1,4.136310987215354e7,2.5252743250037003e8,1.78403714160209e8,3.2760608468007483e7,0.0
1,4,1,4.045528611215349e7,2.5161960874036998e8,1.78403714160209e8,3.2760608468007483e7,0.0
1,5,1,3.6912306432153545e7,2.4807662906037003e8,1.78403714160209e8,3.2760608468007483e7,0.0
1,6,1,5.046576736028352e7,2.385357851885e8,1.55309409360209e8,3.2760608468007483e7,0.0
1,7,1,5.360003875215354e7,2.6476436138037002e8,1.78403714160209e8,3.2760608468007483e7,0.0
1,8,1,3.943693363215353e7,2.5060125626037002e8,1.78403714160209e8,3.2760608468007483e7,0.0
1,9,1,3.651308955215349e7,2.4767741218036997e8,1.78403714160209e8,3.2760608468007483e7,0.0
1,10,1,2.3242099712153517e7,2.3440642234037e8,1.78403714160209e8,3.2760608468007483e7,0.0
1,11,1,2.0450818352153502e7,2.3161514098037e8,1.78403714160209e8,3.2760608468007483e7,0.0
1,12,1,1.5210964112153493e7,2.2637528674036998e8,1.78403714160209e8,3.2760608468007483e7,0.0
1,13,1,2.0463079392153524e7,2.3162740202037e8,1.78403714160209e8,3.2760608468007483e7,0.0
1,14,1,2.260476755215355e7,2.3376909018037003e8,1.78403714160209e8,3.2760608468007483e7,0.0
1,15,1,1.8937079392153524e7,2.3010140202037e8,1.78403714160209e8,3.2760608468007483e7,0.0
1,16,1,2.4781320112153493e7,2.3594564274036998e8,1.78403714160209e8,3.2760608468007483e7,0.0
1,17,1,3.401241507215353e7,2.4517673770037e8,1.78403714160209e8,3.2760608468007483e7,0.0
1,18,1,4.0771374432153545e7,2.5193569706037003e8,1.78403714160209e8,3.2760608468007483e7,0.0
1,19,1,4.523003211215355e7,2.5639435474037004e8,1.78403714160209e8,3.2760608468007483e7,0.0
1,20,1,7.686776646175355e7,2.6503831380997002e8,1.55409938880209e8,3.2760608468007483e7,0.0
1,21,1,7.714671366175354e7,2.6531726100997e8,1.55409938880209e8,3.2760608468007483e7,0.0
1,22,1,7.16793352617535e7,2.5984988260996997e8,1.55409938880209e8,3.2760608468007483e7,0.0
1,23,1,7.482431766175354e7,2.6299486500997e8,1.55409938880209e8,3.2760608468007483e7,0.0
1,24,1,1.0718225926175356e8,2.9535280660997003e8,1.55409938880209e8,3.2760608468007483e7,0.0
