Varies per block?       ,1,Unit,$,2,1,2024
Varies per sequence?    ,1
# of agents             ,18
Stag,Seq.,Blck,Harvesting,Biomethane production,Steam ethanol 1G reform,Steam ethanol 2G reform,Steam methane reforming,Fast pyrolysis of biomass for bio oil,Slow pyrolysis of biomass for biochar,Alcohol to jet from 1G,Alcohol to jet from 2G,Fischer-Tropsch (Gaseification),Biomethanol synthesis,Electricity from residues,Electrolysis,BECCS (Bioethanol),E-methanol sythesis,FIscher-Tropsch (e-fuel),Sugar + E1G,E1G + Sugar
1,1,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,-0.0,9.2736e7
1,2,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,-0.0,9.2736e7
1,3,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,-0.0,9.2736e7
1,4,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,-0.0,9.2736e7
1,5,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,-0.0,9.2736e7
1,6,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,-0.0,9.2736e7
1,7,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,-0.0,9.2736e7
1,8,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,-0.0,9.2736e7
1,9,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,-0.0,9.2736e7
1,10,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,-0.0,9.2736e7
1,11,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,-0.0,9.2736e7
1,12,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,-0.0,9.2736e7
1,13,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,-0.0,9.2736e7
1,14,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,-0.0,9.2736e7
1,15,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,-0.0,9.2736e7
1,16,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,-0.0,9.2736e7
1,17,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,-0.0,9.2736e7
1,18,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,-0.0,9.2736e7
1,19,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,-0.0,9.2736e7
1,20,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,100529.51999999999,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,9.2736e7,0.0
1,21,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,100529.51999999999,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,9.2736e7,0.0
1,22,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,100529.51999999999,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,9.2736e7,0.0
1,23,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,100529.51999999999,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,9.2736e7,0.0
1,24,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,100529.51999999999,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,9.2736e7,0.0
1,25,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,100529.51999999999,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,9.2736e7,0.0
1,26,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,100529.51999999999,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,9.2736e7,0.0
1,27,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,28,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,29,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,30,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,31,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,32,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,33,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,100529.51999999999,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,9.2736e7,0.0
1,34,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,100529.51999999999,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,9.2736e7,0.0
1,35,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,100529.51999999999,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,9.2736e7,0.0
1,36,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,100529.51999999999,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,9.2736e7,0.0
1,37,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,100529.51999999999,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,9.2736e7,0.0
1,38,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,100529.51999999999,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,9.2736e7,0.0
1,39,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,100529.51999999999,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,9.2736e7,0.0
