Varies per block?       ,1,Unit,$,2,1,2024
Varies per sequence?    ,1
# of agents             ,21
Stag,Seq.,Blck,Land,Sugarcane,Straw,Sugar,Molasses,Filter Cake,Bagasse,Ethanol 1G,Ethanol 2G,Vinasse,Electricity,Biomethane,Hydrogen,Bio oil,SAF,Green diesel,Bio Gasoline,Methanol,Biochar,CO2,Carbon credit
1,1,1,0.0,0.0,0.0,4.554017664e7,-0.0,0.0,0.0,6.5945e7,-0.0,0.0,1.7563636364e7,0.0,-0.0,-0.0,7.487696866127001e7,1.673194685668e7,9.15938507392e6,2.04762985845e7,-0.0,0.0,-0.0
1,2,1,0.0,0.0,0.0,5.27395428e7,-0.0,0.0,0.0,6.4746e7,-0.0,0.0,1.7563636364e7,0.0,-0.0,-0.0,7.487696866127001e7,1.673194685668e7,9.15938507392e6,2.04762985845e7,-0.0,0.0,-0.0
1,3,1,0.0,0.0,0.0,4.319619696e7,-0.0,0.0,0.0,7.0523e7,-0.0,0.0,1.7563636364e7,0.0,-0.0,-0.0,7.487696866127001e7,1.673194685668e7,9.15938507392e6,2.04762985845e7,-0.0,0.0,-0.0
1,4,1,0.0,0.0,0.0,3.9345373199999996e7,-0.0,0.0,0.0,7.3466e7,-0.0,0.0,1.7563636364e7,0.0,-0.0,-0.0,7.487696866127001e7,1.673194685668e7,9.15938507392e6,2.04762985845e7,-0.0,0.0,-0.0
1,5,1,0.0,0.0,0.0,3.7001393519999996e7,-0.0,0.0,0.0,7.2267e7,-0.0,0.0,1.7563636364e7,0.0,-0.0,-0.0,7.487696866127001e7,1.673194685668e7,9.15938507392e6,2.04762985845e7,-0.0,0.0,-0.0
1,6,1,-0.0,0.0,-0.0,4.43681868e7,-0.0,0.0,0.0,1.5612766344e8,-0.0,0.0,1.7563636364e7,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.04762985845e7,-0.0,-0.0,-0.0
1,7,1,-0.0,0.0,-0.0,5.1400125839999996e7,-0.0,0.0,0.0,7.4556e7,-0.0,0.0,1.7563636364e7,0.0,-0.0,-0.0,7.487696866127001e7,1.673194685668e7,9.15938507392e6,2.04762985845e7,-0.0,-0.0,-0.0
1,8,1,-0.0,0.0,-0.0,4.704702072e7,-0.0,0.0,0.0,6.4746e7,-0.0,0.0,1.7563636364e7,0.0,-0.0,-0.0,7.487696866127001e7,1.673194685668e7,9.15938507392e6,2.04762985845e7,-0.0,-0.0,-0.0
1,9,1,-0.0,0.0,-0.0,4.554017664e7,-0.0,0.0,0.0,6.332899999999999e7,-0.0,0.0,1.7563636364e7,0.0,-0.0,-0.0,7.487696866127001e7,1.673194685668e7,9.15938507392e6,2.04762985845e7,-0.0,-0.0,-0.0
1,10,1,-0.0,0.0,-0.0,4.43681868e7,-0.0,0.0,0.0,5.123e7,-0.0,0.0,1.7563636364e7,0.0,-0.0,-0.0,7.487696866127001e7,1.673194685668e7,9.15938507392e6,2.04762985845e7,-0.0,-0.0,-0.0
